NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.067637e-2,-7.224005e-2,-8.979501e-2,-1.22093e-1,-1.670609e-1,-2.244269e-1,-2.563868e-1,-2.618242e-1,-2.462629e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.731171e-1,-9.254258e-2,-8.32954e-2,-8.923892e-2,-1.098847e-1,-1.439213e-1,-1.885993e-1,-2.485616e-1,-2.868607e-1,-2.908707e-1,-2.684397e-1,-2.246869e-1,-1.643021e-1,-1.574393e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5899e-1,-2.376287e-1,-1.966453e-1,-1.304363e-1,-1.287338e-1,-1.402327e-1,-1.653529e-1,-2.031111e-1,-2.506391e-1,-3.087549e-1,-3.434683e-1,-3.399068e-1,-3.06009e-1,-2.455877e-1,-1.610106e-1,-1.709531e-1,-1.776608e-1,-1.777208e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,-2.8398e-1,-2.837797e-1,-2.751026e-1,-2.514449e-1,-2.023703e-1,-2.095547e-1,-2.27439e-1,-2.582922e-1,-3.018249e-1,-3.557563e-1,-4.109469e-1,-4.305643e-1,-4.135598e-1,-3.648535e-1,-2.847984e-1,-2.08586e-1,-2.115743e-1,-2.045408e-1,-1.936271e-1,-1.82864e-1,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,-2.611938e-1,-2.897952e-1,-3.062523e-1,-3.213744e-1,-3.314555e-1,-3.327762e-1,-3.209911e-1,-3.279935e-1,-3.525246e-1,-3.899898e-1,-4.408417e-1,-5.037233e-1,-5.504015e-1,-5.475149e-1,-5.140895e-1,-4.503082e-1,-3.521577e-1,-2.990107e-1,-2.749166e-1,-2.479894e-1,-2.206768e-1,-1.955853e-1,-1.759998e-1,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,-2.530276e-1,-2.971702e-1,-3.348423e-1,-3.707813e-1,-4.040597e-1,-4.336333e-1,-4.598621e-1,-4.850027e-1,-5.159365e-1,-5.605707e-1,-6.195427e-1,-6.921833e-1,-7.148801e-1,-6.895424e-1,-6.409829e-1,-5.655501e-1,-4.665458e-1,-4.105327e-1,-3.583368e-1,-3.082466e-1,-2.598049e-1,-2.14206e-1,-1.768738e-1,-1.850127e-1,NaN,NaN,NaN,NaN
NaN,NaN,NaN,-2.304939e-1,-2.686221e-1,-3.205171e-1,-3.776468e-1,-4.319346e-1,-4.909825e-1,-5.482407e-1,-6.07189e-1,-6.728716e-1,-7.170144e-1,-7.690323e-1,-8.364717e-1,-8.801377e-1,-8.796252e-1,-8.502889e-1,-7.912672e-1,-7.106779e-1,-6.199188e-1,-5.367212e-1,-4.60143e-1,-3.866598e-1,-3.136142e-1,-2.514528e-1,-2.324142e-1,-2.241678e-1,-2.198682e-1,NaN,NaN,NaN
NaN,NaN,-2.071714e-1,-2.390923e-1,-2.851669e-1,-3.465335e-1,-4.246473e-1,-5.108531e-1,-5.919585e-1,-6.734698e-1,-7.576113e-1,-8.49178e-1,-9.094689e-1,-9.829494e-1,-1.030597,-1.0351,-1.026194,-9.982566e-1,-9.384172e-1,-8.581507e-1,-7.747366e-1,-6.754664e-1,-5.806635e-1,-4.865345e-1,-3.936363e-1,-3.393954e-1,-3.010869e-1,-2.729554e-1,-2.539556e-1,NaN,NaN,NaN
NaN,NaN,-2.07701e-1,-2.463669e-1,-3.01418e-1,-3.728416e-1,-4.60651e-1,-5.646825e-1,-6.855971e-1,-8.079962e-1,-9.097001e-1,-9.989594e-1,-1.03925,-1.062591,-1.078628,-1.085778,-1.080035,-1.059151,-1.024107,-9.773085e-1,-9.187091e-1,-8.273846e-1,-7.215414e-1,-6.127752e-1,-5.160275e-1,-4.396632e-1,-3.77731e-1,-3.290558e-1,-2.935087e-1,-2.714385e-1,NaN,NaN
NaN,-1.784871e-1,-2.027322e-1,-2.498889e-1,-3.163213e-1,-3.999256e-1,-4.98807e-1,-6.114836e-1,-7.361009e-1,-8.555336e-1,-9.614056e-1,-1.013708,-1.053821,-1.084671,-1.106954,-1.119497,-1.120404,-1.108671,-1.084967,-1.051205,-1.009663,-9.618612e-1,-8.640718e-1,-7.555145e-1,-6.454802e-1,-5.476649e-1,-4.625983e-1,-3.914131e-1,-3.362791e-1,-2.996484e-1,NaN,NaN
NaN,-1.784528e-1,-1.923487e-1,-2.458246e-1,-3.286483e-1,-4.286388e-1,-5.41346e-1,-6.64402e-1,-7.962701e-1,-9.06926e-1,-9.721624e-1,-1.024907,-1.068867,-1.104989,-1.132901,-1.151516,-1.159652,-1.156734,-1.143211,-1.120447,-1.09023,-1.053721,-1.009095,-9.106934e-1,-7.859815e-1,-6.679784e-1,-5.583644e-1,-4.603762e-1,-3.797872e-1,-3.282441e-1,-3.044902e-1,NaN
